parallel-rotate_mpp,parallel-rotate_lost,circle-parallel_mpp,circle-parallel_lost,hexagon-hexagon_mpp,hexagon-hexagon_lost,circle-circle_mpp,circle-circle_lost,hyperbola-parallel_mpp,hyperbola-parallel_lost
0.8044,4.23,0.6091,1.80,0.7148,7.51,0.8452,5.42,0.9318,6.43
1.6001,15.17,1.2186,9.39,1.4302,15.50,1.6979,20.78,1.8019,17.87
1.9716,86.91,1.8235,90.82,1.7079,63.51,1.8679,67.48,2.1067,24.84
nan,nan,3.2176,89.54,3.3941,63.62,3.7408,97.13,4.1531,43.65
nan,nan,3.6471,91.25,3.4143,95.48,3.9075,95.01,4.4448,30.95
nan,nan,6.4359,95.93,6.7885,12.20,7.811,97.65,8.6905,36.69
