spanMedian,spanP90,inkAtLeast,fits,driftRatio,spacing,zoom,theta,shape
356,532,0.674,1,4,1,0.15,0.2,circle
665,995,0.873,1,4,1,0.08,0.2,circle
69,102,1,1,0.5,1,8,0,circle
265,397,1,1,0.5,1,2,0,circle
528,791,1,1,0.5,1,1,0,circle
1316,1976,1,0,0.5,1,0.4,0,circle
3506,5266,1,0,0.5,1,0.15,0,circle
6572,9870,1,0,0.5,1,0.08,0,circle
69,102,1,1,0.5,1,8,0.002,circle
265,397,1,1,0.5,1,2,0.002,circle
528,791,1,1,0.5,1,1,0.002,circle
1316,1976,0.988,0,0.5,1,0.4,0.002,circle
3506,5266,0.98,0,0.5,1,0.15,0.002,circle
6572,9870,0.984,0,0.5,1,0.08,0.002,circle
69,102,0.998,1,0.5,1,8,0.01,circle
265,397,0.898,1,0.5,1,2,0.01,circle
528,791,0.926,1,0.5,1,1,0.01,circle
1316,1976,0.986,0,0.5,1,0.4,0.01,circle
3506,5266,0.982,0,0.5,1,0.15,0.01,circle
6572,9870,0.963,0,0.5,1,0.08,0.01,circle
69,102,0.873,1,0.5,1,8,0.05,circle
265,397,0.875,1,0.5,1,2,0.05,circle
528,791,0.957,1,0.5,1,1,0.05,circle
1316,1976,0.984,0,0.5,1,0.4,0.05,circle
3506,5266,0.955,0,0.5,1,0.15,0.05,circle
6572,9870,0.973,0,0.5,1,0.08,0.05,circle
69,102,0.871,1,0.5,1,8,0.2,circle
265,397,0.895,1,0.5,1,2,0.2,circle
528,791,0.971,1,0.5,1,1,0.2,circle
1316,1976,0.975,0,0.5,1,0.4,0.2,circle
3506,5266,0.975,0,0.5,1,0.15,0.2,circle
6572,9870,0.971,0,0.5,1,0.08,0.2,circle
400,598,0.316,1,1.118,1,8,0,circle
1574,2365,0.316,0,1.118,1,2,0,circle
3143,4726,0.316,0,1.118,1,1,0,circle
7855,11812,0.316,0,1.118,1,0.4,0,circle
20942,31495,0.316,0,1.118,1,0.15,0,circle
39264,59052,0.316,0,1.118,1,0.08,0,circle
400,598,0.357,1,1.118,1,8,0.002,circle
1574,2365,0.564,0,1.118,1,2,0.002,circle
3143,4726,0.768,0,1.118,1,1,0.002,circle
7855,11812,0.873,0,1.118,1,0.4,0.002,circle
20942,31495,0.883,0,1.118,1,0.15,0.002,circle
39264,59052,0.879,0,1.118,1,0.08,0.002,circle
400,598,0.736,1,1.118,1,8,0.01,circle
1574,2365,0.914,0,1.118,1,2,0.01,circle
3143,4726,0.867,0,1.118,1,1,0.01,circle
7855,11812,0.857,0,1.118,1,0.4,0.01,circle
20942,31495,0.893,0,1.118,1,0.15,0.01,circle
39264,59052,0.879,0,1.118,1,0.08,0.01,circle
400,598,0.99,1,1.118,1,8,0.05,circle
1574,2365,0.91,0,1.118,1,2,0.05,circle
3143,4726,0.883,0,1.118,1,1,0.05,circle
7855,11812,0.881,0,1.118,1,0.4,0.05,circle
20942,31495,0.891,0,1.118,1,0.15,0.05,circle
39264,59052,0.867,0,1.118,1,0.08,0.05,circle
400,598,1,1,1.118,1,8,0.2,circle
1574,2365,0.932,0,1.118,1,2,0.2,circle
3143,4726,0.855,0,1.118,1,1,0.2,circle
7855,11812,0.85,0,1.118,1,0.4,0.2,circle
20942,31495,0.896,0,1.118,1,0.15,0.2,circle
39264,59052,0.879,0,1.118,1,0.08,0.2,circle
21,30,0.08,1,2.55,1,8,0,circle
74,110,0.078,1,2.55,1,2,0,circle
146,217,0.078,1,2.55,1,1,0,circle
361,541,0.078,1,2.55,1,0.4,0,circle
960,1440,0.078,0,2.55,1,0.15,0,circle
1799,2698,0.078,0,2.55,1,0.08,0,circle
21,30,0.084,1,2.55,1,8,0.002,circle
74,110,0.08,1,2.55,1,2,0.002,circle
146,217,0.08,1,2.55,1,1,0.002,circle
361,541,0.203,1,2.55,1,0.4,0.002,circle
960,1440,0.316,0,2.55,1,0.15,0.002,circle
1799,2698,0.555,0,2.55,1,0.08,0.002,circle
21,30,0.084,1,2.55,1,8,0.01,circle
74,110,0.174,1,2.55,1,2,0.01,circle
146,217,0.219,1,2.55,1,1,0.01,circle
361,541,0.516,1,2.55,1,0.4,0.01,circle
960,1440,0.801,0,2.55,1,0.15,0.01,circle
1799,2698,0.842,0,2.55,1,0.08,0.01,circle
21,30,0.209,1,2.55,1,8,0.05,circle
74,110,0.242,1,2.55,1,2,0.05,circle
146,217,0.307,1,2.55,1,1,0.05,circle
361,541,0.588,1,2.55,1,0.4,0.05,circle
960,1440,0.854,0,2.55,1,0.15,0.05,circle
1799,2698,0.873,0,2.55,1,0.08,0.05,circle
21,30,0.221,1,2.55,1,8,0.2,circle
74,110,0.256,1,2.55,1,2,0.2,circle
146,217,0.32,1,2.55,1,1,0.2,circle
361,541,0.668,1,2.55,1,0.4,0.2,circle
960,1440,0.859,0,2.55,1,0.15,0.2,circle
1799,2698,0.877,0,2.55,1,0.08,0.2,circle
9,12,0.033,1,4.031,1,8,0,circle
28,41,0.035,1,4.031,1,2,0,circle
54,80,0.045,1,4.031,1,1,0,circle
132,197,0.047,1,4.031,1,0.4,0,circle
350,523,0.047,1,4.031,1,0.15,0,circle
654,979,0.047,1,4.031,1,0.08,0,circle
9,12,0.037,1,4.031,1,8,0.002,circle
28,41,0.039,1,4.031,1,2,0.002,circle
54,80,0.047,1,4.031,1,1,0.002,circle
132,197,0.078,1,4.031,1,0.4,0.002,circle
350,523,0.191,1,4.031,1,0.15,0.002,circle
654,979,0.182,1,4.031,1,0.08,0.002,circle
9,12,0.035,1,4.031,1,8,0.01,circle
