duty,two,three
0.200000,0.036806,0.024528
0.250000,0.038721,0.018219
0.300000,0.036793,0.007948
0.333333,0.033504,0.000004
0.400000,0.022712,0.015162
0.450000,0.011924,0.022964
0.500000,0.000004,0.025783
0.550000,0.011977,0.022964
0.600000,0.022760,0.015143
0.666667,0.033507,0.000006
0.700000,0.036846,0.007961
0.750000,0.038690,0.018225
0.800000,0.036740,0.024516
