gap,measured,predicted,ideal
0.3871,0.651,0.651,0.6571
0.3746,0.6484,0.6483,0.6571
0.0918,0.424,0.4241,0.4204
0.4208,0.6553,0.6553,0.6571
0.3551,0.6426,0.6426,0.6571
0.1968,0.5252,0.5252,0.5254
0.0813,0.4155,0.4155,0.4099
0.1937,0.5221,0.5221,0.5223
0.341,0.6372,0.6372,0.6571
0.4551,0.6568,0.6568,0.6571
0.1633,0.4919,0.4919,0.4919
0.2199,0.5476,0.5476,0.5485
0.4941,0.6571,0.6571,0.6571
0.3131,0.623,0.623,0.6417
0.1733,0.5018,0.5018,0.5018
0.2113,0.5394,0.5394,0.5399
0.3559,0.6429,0.6429,0.6571
0.4467,0.6566,0.6566,0.6571
0.1692,0.4977,0.4978,0.4978
0.0127,0.381,0.381,0.3413
0.3203,0.6271,0.6271,0.6488
0.4466,0.6566,0.6566,0.6571
0.2782,0.599,0.599,0.6068
0.2279,0.5552,0.5552,0.5565
0.3698,0.6471,0.6471,0.6571
0.4389,0.6564,0.6564,0.6571
0.1743,0.5028,0.5028,0.5028
0.1298,0.4589,0.4588,0.4583
0.2249,0.5524,0.5524,0.5535
0.4751,0.6571,0.6571,0.6571
0.3433,0.6381,0.6381,0.6571
0.2859,0.6048,0.6048,0.6144
0.4387,0.6563,0.6564,0.6571
0.3561,0.643,0.643,0.6571
0.0739,0.4099,0.4099,0.4025
0.248,0.5736,0.5737,0.5766
0.1278,0.4569,0.4569,0.4563
0.3949,0.6523,0.6524,0.6571
0.4102,0.6544,0.6544,0.6571
0.3455,0.639,0.639,0.6571
0.4906,0.6571,0.6571,0.6571
0.2717,0.5938,0.5938,0.6003
0.0278,0.3846,0.3846,0.3564
0.2194,0.5472,0.5472,0.548
0.1341,0.463,0.463,0.4627
0.3894,0.6514,0.6514,0.6571
0.4217,0.6554,0.6554,0.6571
0.4598,0.6569,0.6569,0.6571
0.3483,0.6401,0.6401,0.6571
0.0912,0.4235,0.4236,0.4198
0.2612,0.5851,0.5851,0.5897
0.1941,0.5226,0.5225,0.5227
0.1397,0.4685,0.4685,0.4682
0.3842,0.6505,0.6505,0.6571
0.4326,0.6561,0.6561,0.6571
0.4124,0.6546,0.6546,0.6571
0.1886,0.5171,0.5171,0.5172
0.1118,0.4418,0.4418,0.4403
0.4763,0.6571,0.6571,0.6571
0.1715,0.5001,0.5001,0.5001
0.1447,0.4734,0.4734,0.4732
0.3793,0.6494,0.6494,0.6571
0.4666,0.657,0.657,0.6571
0.2697,0.5922,0.5922,0.5982
0.01,0.3806,0.3806,0.3386
0.339,0.6363,0.6363,0.6571
0.4084,0.6542,0.6542,0.6571
0.0411,0.3898,0.3898,0.3696
0.2313,0.5584,0.5585,0.5599
0.4373,0.6563,0.6563,0.6571
0.2689,0.5916,0.5916,0.5975
0.0202,0.3824,0.3824,0.3488
0.3101,0.6212,0.6212,0.6387
0.3275,0.6308,0.6309,0.6561
0.2481,0.5738,0.5738,0.5767
0.0666,0.4047,0.4046,0.3952
0.3042,0.6175,0.6175,0.6328
0.2682,0.591,0.591,0.5968
0.0295,0.3851,0.3851,0.3581
0.2841,0.6034,0.6034,0.6126
0.2969,0.6126,0.6127,0.6255
0.3456,0.6391,0.6391,0.6571
0.0168,0.3817,0.3817,0.3454
0.2326,0.5597,0.5597,0.5612
0.1973,0.5257,0.5257,0.5259
0.0527,0.3958,0.3958,0.3812
0.3796,0.6495,0.6495,0.6571
0.1863,0.5148,0.5148,0.5149
0.4435,0.6565,0.6565,0.6571
0.1011,0.4321,0.4321,0.4297
0.16,0.4886,0.4886,0.4886
0.1256,0.4548,0.4548,0.4541
0.1356,0.4645,0.4645,0.4641
0.4754,0.6571,0.6571,0.6571
0.0761,0.4115,0.4115,0.4046
0.4583,0.6569,0.6569,0.6571
0.1861,0.5145,0.5145,0.5146
0.0865,0.4197,0.4197,0.4151
0.053,0.396,0.396,0.3815
0.2191,0.5468,0.5469,0.5477
0.4285,0.6558,0.6558,0.6571
0.0337,0.3866,0.3867,0.3623
0.3601,0.6442,0.6443,0.6571
0.2716,0.5938,0.5937,0.6001
0.0122,0.3809,0.3809,0.3408
0.0204,0.3825,0.3825,0.3489
0.3031,0.6168,0.6168,0.6317
0.3324,0.6333,0.6333,0.6571
0.1429,0.4717,0.4717,0.4715
0.2618,0.5857,0.5857,0.5904
0.3575,0.6434,0.6434,0.6571
0.0628,0.4021,0.4021,0.3914
0.0943,0.4262,0.4262,0.4229
0.3875,0.6511,0.6511,0.6571
0.2363,0.5631,0.5631,0.5649
0.1609,0.4894,0.4895,0.4895
0.3059,0.6186,0.6185,0.6344
0.3335,0.6338,0.6338,0.6571
0.052,0.3954,0.3954,0.3805
0.262,0.5859,0.5859,0.5906
0.4092,0.6543,0.6543,0.6571
0.012,0.3809,0.3809,0.3406
0.0932,0.4253,0.4253,0.4218
0.3462,0.6393,0.6393,0.6571
0.3115,0.622,0.622,0.64
0.1545,0.4831,0.4831,0.4831
0.4443,0.6566,0.6566,0.6571
0.1885,0.5169,0.5169,0.517
0.2811,0.6012,0.6012,0.6096
0.0317,0.386,0.3859,0.3603
0.3831,0.6502,0.6502,0.6571
0.291,0.6086,0.6086,0.6196
0.3191,0.6265,0.6264,0.6477
0.358,0.6436,0.6436,0.6571
0.0505,0.3946,0.3946,0.3791
0.4754,0.6571,0.6571,0.6571
0.0246,0.3836,0.3836,0.3531
0.4172,0.655,0.655,0.6571
0.2721,0.5942,0.5942,0.6007
0.4972,0.6571,0.6571,0.6571
0.1443,0.4731,0.4731,0.4729
0.3083,0.62,0.62,0.6368
0.3947,0.6524,0.6523,0.6571
0.0761,0.4115,0.4115,0.4047
0.4486,0.6567,0.6567,0.6571
0.3726,0.6478,0.6478,0.6571
0.3105,0.6214,0.6214,0.6391
0.0859,0.4192,0.4192,0.4145
0.4149,0.6548,0.6548,0.6571
0.321,0.6275,0.6275,0.6496
0.1236,0.4529,0.4529,0.4521
0.4777,0.6571,0.6571,0.6571
0.4534,0.6568,0.6568,0.6571
0.1036,0.4343,0.4343,0.4321
0.3333,0.6337,0.6337,0.6571
0.2189,0.5467,0.5467,0.5475
0.2534,0.5785,0.5785,0.582
0.1673,0.4959,0.4959,0.4959
0.4953,0.6571,0.6571,0.6571
0.2664,0.5895,0.5895,0.5949
0.1186,0.4482,0.4482,0.4472
0.402,0.6534,0.6534,0.6571
0.3113,0.6218,0.6219,0.6398
0.1913,0.5197,0.5197,0.5199
0.2078,0.536,0.536,0.5364
0.4073,0.654,0.654,0.6571
0.0658,0.4041,0.4041,0.3943
0.3563,0.643,0.643,0.6571
0.1198,0.4493,0.4493,0.4484
0.396,0.6525,0.6525,0.6571
0.134,0.4629,0.4629,0.4625
0.2454,0.5713,0.5714,0.574
0.2252,0.5527,0.5527,0.5538
0.1488,0.4775,0.4775,0.4774
0.3901,0.6515,0.6516,0.6571
0.0762,0.4116,0.4116,0.4048
0.4739,0.6571,0.6571,0.6571
0.0809,0.4153,0.4152,0.4095
0.2804,0.6007,0.6007,0.6089
0.0306,0.3855,0.3855,0.3592
0.3776,0.649,0.649,0.6571
0.1206,0.4501,0.4501,0.4492
0.0264,0.3841,0.3841,0.355
0.4542,0.6568,0.6568,0.6571
0.0318,0.3859,0.3859,0.3603
0.1867,0.5152,0.5152,0.5153
0.1768,0.5054,0.5054,0.5054
0.379,0.6494,0.6494,0.6571
0.1648,0.4933,0.4933,0.4933
0.1209,0.4504,0.4504,0.4495
0.3877,0.6512,0.6511,0.6571
0.014,0.3811,0.3812,0.3425
0.0021,0.38,0.38,0.3307
0.3974,0.6527,0.6527,0.6571
0.1211,0.4506,0.4506,0.4497
0.3598,0.6442,0.6442,0.6571
0.2082,0.5363,0.5363,0.5367
0.326,0.6301,0.6301,0.6546
0.0566,0.3981,0.3981,0.3851
0.2029,0.5312,0.5311,0.5315
0.3687,0.6468,0.6468,0.6571
0.1513,0.48,0.48,0.4799
0.2482,0.5739,0.5739,0.5768
0.2889,0.607,0.607,0.6175
0.2687,0.5914,0.5914,0.5973
0.0327,0.3863,0.3863,0.3613
0.4158,0.6549,0.6549,0.6571
0.1214,0.4508,0.4508,0.45
0.4381,0.6563,0.6563,0.6571
0.3374,0.6356,0.6356,0.6571
0.2048,0.533,0.533,0.5334
0.3468,0.6396,0.6396,0.6571
0.1054,0.436,0.436,0.434
0.4944,0.6571,0.6571,0.6571
0.0373,0.3881,0.3881,0.3658
0.4734,0.6571,0.6571,0.6571
0.4253,0.6557,0.6556,0.6571
0.1215,0.4509,0.4509,0.4501
0.4245,0.6556,0.6556,0.6571
0.1779,0.5064,0.5064,0.5064
0.4275,0.6558,0.6558,0.6571
0.046,0.3922,0.3922,0.3746
0.3862,0.6508,0.6508,0.6571
0.4881,0.6571,0.6571,0.6571
0.039,0.3889,0.3889,0.3676
0.4983,0.6571,0.6571,0.6571
0.25,0.5754,0.5754,0.5785
0.35,0.6408,0.6408,0.6571
0.1283,0.4574,0.4574,0.4569
0.3003,0.6149,0.6149,0.6288
0.4026,0.6535,0.6535,0.6571
0.0425,0.3905,0.3905,0.3711
0.4217,0.6554,0.6554,0.6571
0.3217,0.6278,0.6279,0.6503
0.2731,0.595,0.595,0.6017
0.2097,0.5378,0.5377,0.5382
0.2157,0.5436,0.5436,0.5443
0.1099,0.4401,0.4401,0.4385
0.2987,0.6138,0.6138,0.6272
0.1984,0.5268,0.5267,0.527
0.3844,0.6505,0.6505,0.6571
0.3415,0.6374,0.6374,0.6571
0.1184,0.448,0.448,0.4469
0.3359,0.6349,0.6349,0.6571
0.1946,0.523,0.523,0.5232
0.4334,0.6561,0.6561,0.6571
0.0361,0.3876,0.3876,0.3647
0.4107,0.6544,0.6544,0.6571
0.4055,0.6538,0.6538,0.6571
0.0332,0.3864,0.3865,0.3617
0.4477,0.6566,0.6567,0.6571
0.165,0.4935,0.4935,0.4935
0.1539,0.4825,0.4826,0.4825
0.2818,0.6018,0.6018,0.6104
0.1954,0.5238,0.5238,0.524
0.4655,0.657,0.657,0.6571
0.0465,0.3925,0.3925,0.3751
0.4479,0.6567,0.6567,0.6571
0.0301,0.3853,0.3854,0.3587
0.3581,0.6436,0.6436,0.6571
0.2727,0.5946,0.5947,0.6013
0.1905,0.5189,0.5189,0.5191
0.2647,0.5881,0.5881,0.5933
0.262,0.5858,0.5859,0.5906
0.1847,0.5132,0.5132,0.5132
0.2901,0.6079,0.6079,0.6187
0.3254,0.6298,0.6298,0.654
0.2161,0.5439,0.5439,0.5446
0.3836,0.6504,0.6503,0.6571
0.1051,0.4357,0.4357,0.4337
0.3297,0.632,0.632,0.6571
0.0489,0.3938,0.3938,0.3775
0.426,0.6557,0.6557,0.6571
0.0179,0.3819,0.3819,0.3464
0.3694,0.647,0.647,0.6571
0.0835,0.4173,0.4173,0.4121
0.4873,0.6571,0.6571,0.6571
0.025,0.3837,0.3837,0.3536
0.2569,0.5815,0.5815,0.5855
0.1737,0.5022,0.5022,0.5023
0.3228,0.6285,0.6284,0.6514
0.2643,0.5878,0.5878,0.5929
0.1754,0.5039,0.5039,0.5039
0.1602,0.4888,0.4888,0.4888
0.4122,0.6546,0.6546,0.6571
0.0971,0.4287,0.4287,0.4257
0.1884,0.5169,0.5169,0.517
0.2456,0.5715,0.5715,0.5742
0.2484,0.574,0.574,0.5769
0.3398,0.6366,0.6367,0.6571
0.1006,0.4316,0.4316,0.4291
0.2356,0.5624,0.5624,0.5642
0.3381,0.636,0.6359,0.6571
0.1685,0.4971,0.4971,0.4971
0.1205,0.45,0.45,0.4491
0.3167,0.6251,0.6251,0.6453
0.175,0.5035,0.5035,0.5035
0.414,0.6548,0.6547,0.6571
0.0924,0.4246,0.4246,0.421
0.4793,0.6571,0.6571,0.6571
0.0826,0.4166,0.4166,0.4112
0.3963,0.6526,0.6526,0.6571
0.0522,0.3955,0.3955,0.3807
0.233,0.56,0.56,0.5616
0.281,0.6012,0.6011,0.6096
0.2812,0.6013,0.6012,0.6097
0.0718,0.4083,0.4083,0.4004
0.1859,0.5144,0.5144,0.5145
0.1818,0.5103,0.5103,0.5104
0.3671,0.6463,0.6463,0.6571
0.1588,0.4874,0.4874,0.4874
