gap,measured,predicted,ideal
0.0859,0.4192,0.4192,0.4145
0.4149,0.6548,0.6548,0.6571
0.321,0.6275,0.6275,0.6496
0.1236,0.4529,0.4529,0.4521
0.4777,0.6571,0.6571,0.6571
0.3947,0.6523,0.6523,0.6571
0.2731,0.595,0.5949,0.6017
0.1453,0.4741,0.4741,0.4739
0.4216,0.6554,0.6554,0.6571
0.0686,0.406,0.406,0.3972
0.3338,0.634,0.634,0.6571
0.3463,0.6393,0.6394,0.6571
0.4186,0.6552,0.6551,0.6571
0.2325,0.5595,0.5596,0.5611
0.2101,0.5383,0.5382,0.5387
0.295,0.6113,0.6113,0.6235
0.166,0.4945,0.4945,0.4945
0.4712,0.657,0.657,0.6571
0.1545,0.4831,0.4831,0.4831
0.4443,0.6566,0.6566,0.6571
0.1885,0.5169,0.5169,0.517
0.2811,0.6012,0.6012,0.6096
0.0317,0.386,0.3859,0.3603
0.3831,0.6502,0.6502,0.6571
0.291,0.6086,0.6086,0.6196
0.1688,0.4974,0.4974,0.4974
0.4722,0.6571,0.6571,0.6571
0.1404,0.4692,0.4692,0.469
0.2666,0.5897,0.5896,0.5951
0.2119,0.5399,0.5399,0.5405
0.4164,0.655,0.655,0.6571
0.1249,0.4541,0.4541,0.4535
0.1843,0.5128,0.5128,0.5128
0.4975,0.6571,0.6571,0.6571
0.0878,0.4208,0.4207,0.4164
0.0085,0.3804,0.3804,0.3371
0.4364,0.6563,0.6563,0.6571
0.232,0.5591,0.5591,0.5606
0.0596,0.4,0.4,0.3881
0.201,0.5293,0.5293,0.5295
0.4646,0.657,0.657,0.6571
0.03,0.3853,0.3853,0.3586
0.1108,0.4409,0.4409,0.4393
0.4735,0.6571,0.6571,0.6571
0.153,0.4817,0.4817,0.4816
0.1297,0.4587,0.4587,0.4582
0.1207,0.4501,0.4501,0.4493
0.4435,0.6565,0.6565,0.6571
0.1348,0.4637,0.4637,0.4634
0.2134,0.5413,0.5413,0.5419
0.3836,0.6504,0.6503,0.6571
0.0745,0.4103,0.4103,0.4031
0.199,0.5273,0.5273,0.5275
0.041,0.3898,0.3898,0.3696
0.3518,0.6414,0.6414,0.6571
0.2399,0.5664,0.5664,0.5685
0.3162,0.6248,0.6248,0.6448
0.294,0.6107,0.6107,0.6226
0.0033,0.3801,0.3801,0.3319
0.2674,0.5904,0.5904,0.596
0.038,0.3885,0.3884,0.3666
0.2604,0.5845,0.5845,0.589
0.3453,0.6389,0.639,0.6571
0.4191,0.6552,0.6552,0.6571
0.2049,0.533,0.5331,0.5334
0.0805,0.4148,0.4148,0.409
0.3349,0.6345,0.6345,0.6571
0.1162,0.4459,0.4459,0.4448
0.1696,0.4981,0.4981,0.4981
0.4507,0.6568,0.6567,0.6571
0.478,0.6571,0.6571,0.6571
0.1163,0.446,0.446,0.4448
0.1567,0.4854,0.4854,0.4853
0.4014,0.6533,0.6533,0.6571
0.1935,0.5219,0.5219,0.522
0.0794,0.414,0.414,0.4079
0.444,0.6565,0.6565,0.6571
0.4837,0.6571,0.6571,0.6571
0.1329,0.4619,0.4619,0.4615
0.1531,0.4818,0.4818,0.4817
0.3704,0.6473,0.6473,0.6571
0.3413,0.6373,0.6373,0.6571
0.105,0.4356,0.4356,0.4335
0.2106,0.5387,0.5387,0.5392
0.4412,0.6565,0.6564,0.6571
0.1512,0.4798,0.4799,0.4798
0.1491,0.4778,0.4778,0.4777
0.3747,0.6483,0.6484,0.6571
0.4741,0.6571,0.6571,0.6571
0.2704,0.5928,0.5928,0.599
0.0013,0.38,0.38,0.3298
0.3712,0.6475,0.6475,0.6571
0.301,0.6154,0.6154,0.6296
0.0499,0.3942,0.3943,0.3784
0.3084,0.6201,0.6201,0.637
0.497,0.6571,0.6571,0.6571
0.4821,0.6571,0.6571,0.6571
0.2711,0.5933,0.5933,0.5996
0.0138,0.3811,0.3811,0.3424
0.4072,0.654,0.654,0.6571
0.0707,0.4075,0.4075,0.3992
0.2295,0.5567,0.5567,0.558
0.451,0.6567,0.6567,0.6571
0.3455,0.639,0.639,0.6571
0.4906,0.6571,0.6571,0.6571
0.2717,0.5938,0.5938,0.6003
0.0278,0.3846,0.3846,0.3564
0.2194,0.5472,0.5472,0.548
0.1341,0.463,0.463,0.4627
0.3894,0.6514,0.6514,0.6571
0.4217,0.6554,0.6554,0.6571
0.3321,0.6332,0.6332,0.6571
0.4997,0.6571,0.6571,0.6571
0.2722,0.5943,0.5943,0.6008
0.0435,0.391,0.391,0.3721
0.1076,0.438,0.438,0.4362
0.2267,0.5541,0.5541,0.5553
0.4665,0.657,0.657,0.6571
0.3569,0.6432,0.6432,0.6571
0.2708,0.5931,0.5931,0.5994
0.4272,0.6558,0.6558,0.6571
0.3604,0.6444,0.6444,0.6571
0.0636,0.4026,0.4026,0.3922
0.0031,0.3801,0.3801,0.3316
0.3178,0.6257,0.6257,0.6463
0.4581,0.6569,0.6569,0.6571
0.2938,0.6105,0.6105,0.6224
0.2113,0.5394,0.5394,0.5399
0.3559,0.6429,0.6429,0.6571
0.4467,0.6566,0.6566,0.6571
0.1692,0.4977,0.4978,0.4978
0.0127,0.381,0.381,0.3413
0.3203,0.6271,0.6271,0.6488
0.4466,0.6566,0.6566,0.6571
0.2782,0.599,0.599,0.6068
0.1175,0.4471,0.4471,0.446
0.2379,0.5645,0.5645,0.5664
0.4014,0.6533,0.6533,0.6571
0.3696,0.6471,0.6471,0.6571
0.0383,0.3886,0.3886,0.3668
0.3228,0.6284,0.6285,0.6514
0.4343,0.6562,0.6562,0.6571
0.2617,0.5855,0.5855,0.5902
0.1352,0.4641,0.4641,0.4638
0.1348,0.4637,0.4637,0.4633
0.2695,0.592,0.592,0.598
0.457,0.6569,0.6569,0.6571
0.2728,0.5947,0.5947,0.6014
0.2165,0.5444,0.5444,0.5451
0.4952,0.6571,0.6571,0.6571
0.2964,0.6123,0.6123,0.625
0.1544,0.483,0.483,0.483
0.015,0.3813,0.3813,0.3436
0.1146,0.4444,0.4444,0.4432
0.251,0.5763,0.5763,0.5796
0.444,0.6565,0.6565,0.6571
0.2722,0.5942,0.5942,0.6008
0.3279,0.6311,0.6311,0.6565
0.4067,0.654,0.654,0.6571
0.225,0.5525,0.5525,0.5536
0.0959,0.4275,0.4275,0.4244
0.033,0.3864,0.3864,0.3615
0.0566,0.3982,0.3982,0.3852
0.1798,0.5083,0.5083,0.5084
0.355,0.6426,0.6426,0.6571
0.3854,0.6507,0.6507,0.6571
0.4366,0.6563,0.6563,0.6571
0.321,0.6275,0.6275,0.6496
0.1563,0.4849,0.4849,0.4848
0.0397,0.3892,0.3892,0.3683
0.0786,0.4134,0.4134,0.4072
0.0013,0.38,0.38,0.3299
0.1115,0.4416,0.4415,0.4401
0.2691,0.5918,0.5917,0.5977
0.4956,0.6571,0.6571,0.6571
0.4454,0.6565,0.6566,0.6571
0.3018,0.6159,0.6159,0.6304
0.1339,0.4628,0.4628,0.4624
0.0172,0.3818,0.3818,0.3458
0.0669,0.4049,0.4049,0.3955
0.0773,0.4124,0.4124,0.4059
0.01,0.3806,0.3806,0.3386
0.1339,0.4628,0.4628,0.4624
0.3171,0.6253,0.6253,0.6457
0.3972,0.6527,0.6527,0.6571
0.356,0.643,0.6429,0.6571
0.1594,0.4881,0.488,0.488
0.0277,0.3845,0.3845,0.3562
0.0646,0.4033,0.4033,0.3932
